subject,count,link
"annapolis, maryland",5,"https://www.viomenil.mountvernon.org/browse.html#annapolis,%20maryland"
"jacques-aimé le saige de la villèsbrunne",5,"https://www.viomenil.mountvernon.org/browse.html#jacques-aim%C3%A9%20le%20saige%20de%20la%20vill%C3%A8sbrunne"
"pierre-françois de béville",5,"https://www.viomenil.mountvernon.org/browse.html#pierre-fran%C3%A7ois%20de%20b%C3%A9ville"
"benoît-joseph de tarlé",5,"https://www.viomenil.mountvernon.org/browse.html#beno%C3%AEt-joseph%20de%20tarl%C3%A9"
"1734-1788",5,"https://www.viomenil.mountvernon.org/browse.html#1734-1788"
"françois jean de beauvoir, marquis de chastellux",5,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois%20jean%20de%20beauvoir,%20marquis%20de%20chastellux"
"nathanael greene",4,"https://www.viomenil.mountvernon.org/browse.html#nathanael%20greene"
"pierre joseph françois samson de champmartin",4,"https://www.viomenil.mountvernon.org/browse.html#pierre%20joseph%20fran%C3%A7ois%20samson%20de%20champmartin"
"1742-1786",4,"https://www.viomenil.mountvernon.org/browse.html#1742-1786"
"1735-1797",4,"https://www.viomenil.mountvernon.org/browse.html#1735-1797"
"delaware river",4,"https://www.viomenil.mountvernon.org/browse.html#delaware%20river"
"jamaica",4,"https://www.viomenil.mountvernon.org/browse.html#jamaica"
"long island sound",4,"https://www.viomenil.mountvernon.org/browse.html#long%20island%20sound"
"1743-1804",4,"https://www.viomenil.mountvernon.org/browse.html#1743-1804"
"harlem river",4,"https://www.viomenil.mountvernon.org/browse.html#harlem%20river"
"christian, marquis de deux-ponts",4,"https://www.viomenil.mountvernon.org/browse.html#christian,%20marquis%20de%20deux-ponts"
"1752-1817",4,"https://www.viomenil.mountvernon.org/browse.html#1752-1817"
"jeremiah wadsworth",4,"https://www.viomenil.mountvernon.org/browse.html#jeremiah%20wadsworth"
"alexandria, virginia",4,"https://www.viomenil.mountvernon.org/browse.html#alexandria,%20virginia"
"north castle, new york",4,"https://www.viomenil.mountvernon.org/browse.html#north%20castle,%20new%20york"
"1755-1810",3,"https://www.viomenil.mountvernon.org/browse.html#1755-1810"
"fredericksburg, virginia",3,"https://www.viomenil.mountvernon.org/browse.html#fredericksburg,%20virginia"
"gibraltar",3,"https://www.viomenil.mountvernon.org/browse.html#gibraltar"
"hans axel von fersen",3,"https://www.viomenil.mountvernon.org/browse.html#hans%20axel%20von%20fersen"
"louis marie florent du châtelet",3,"https://www.viomenil.mountvernon.org/browse.html#louis%20marie%20florent%20du%20ch%C3%A2telet"
"charles henri d'estaing",3,"https://www.viomenil.mountvernon.org/browse.html#charles%20henri%20d'estaing"
"1729-1794",3,"https://www.viomenil.mountvernon.org/browse.html#1729-1794"
"potomac river",3,"https://www.viomenil.mountvernon.org/browse.html#potomac%20river"
"1740-1801",3,"https://www.viomenil.mountvernon.org/browse.html#1740-1801"
"benedict arnold",3,"https://www.viomenil.mountvernon.org/browse.html#benedict%20arnold"
"charles de bernard de marigny",3,"https://www.viomenil.mountvernon.org/browse.html#charles%20de%20bernard%20de%20marigny"
"louis joseph, prince of condé",3,"https://www.viomenil.mountvernon.org/browse.html#louis%20joseph,%20prince%20of%20cond%C3%A9"
"red lion tavern",3,"https://www.viomenil.mountvernon.org/browse.html#red%20lion%20tavern"
